"Date","season","holiday","hr","workingday","weather","atemp","humidity","windspeed","Count","Day_Time"
"2011-01-02","winter","Not holiday","9","Not workday","Mist","19.695",76,"15.0013",20,"Work time"
"2011-01-02","winter","Not holiday","10","Not workday","Mist","17.425",81,"15.0013",53,"Work time"
"2011-01-02","winter","Not holiday","11","Not workday","Mist","16.665",71,"16.9979",70,"Work time"
"2011-01-02","winter","Not holiday","12","Not workday","Mist","16.665",66,"19.9995",93,"Work time"
"2011-01-02","winter","Not holiday","13","Not workday","Mist","17.425",66,"8.9981",75,"Work time"
"2011-01-02","winter","Not holiday","14","Not workday","Light Snow","17.425",76,"12.998",59,"Work time"
"2011-01-02","winter","Not holiday","15","Not workday","Light Snow","16.665",81,"11.0014",74,"Work time"
"2011-01-02","winter","Not holiday","16","Not workday","Light Snow","16.665",71,"11.0014",76,"Work time"
"2011-01-02","winter","Not holiday","17","Not workday","Clear","16.665",57,"12.998",65,"After work time"
"2011-01-02","winter","Not holiday","18","Not workday","Mist","16.665",46,"22.0028",53,"After work time"
"2011-01-02","winter","Not holiday","19","Not workday","Clear","14.395",42,"30.0026",30,"After work time"
"2011-01-02","winter","Not holiday","20","Not workday","Clear","13.635",39,"23.9994",22,"After work time"
"2011-01-02","winter","Not holiday","21","Not workday","Clear","11.365",44,"22.0028",31,"After work time"
"2011-01-02","winter","Not holiday","22","Not workday","Clear","10.605",44,"19.9995",9,"After work time"
"2011-01-02","winter","Not holiday","23","Not workday","Clear","11.365",47,"11.0014",8,"After work time"
"2011-01-03","winter","Not holiday","0","Workday","Clear","9.85",44,"23.9994",5,"Sleep time"
"2011-01-03","winter","Not holiday","1","Workday","Clear","8.335",44,"27.9993",2,"Sleep time"
"2011-01-03","winter","Not holiday","4","Workday","Clear","6.82",47,"26.0027",1,"Sleep time"
"2011-01-03","winter","Not holiday","5","Workday","Clear","6.82",47,"19.0012",3,"Sleep time"
"2011-01-03","winter","Not holiday","6","Workday","Clear","5.305",50,"26.0027",30,"Sleep time"
"2011-01-03","winter","Not holiday","7","Workday","Clear","6.82",50,"12.998",64,"Work time"
"2011-01-03","winter","Not holiday","8","Workday","Clear","6.06",50,"19.0012",154,"Work time"
"2011-01-03","winter","Not holiday","9","Workday","Clear","6.82",43,"26.0027",88,"Work time"
"2011-01-03","winter","Not holiday","10","Workday","Clear","8.335",43,"16.9979",44,"Work time"
"2011-01-03","winter","Not holiday","11","Workday","Clear","9.09",40,"22.0028",51,"Work time"
"2011-01-03","winter","Not holiday","12","Workday","Clear","10.605",35,"19.9995",61,"Work time"
"2011-01-03","winter","Not holiday","13","Workday","Clear","10.605",35,"19.0012",61,"Work time"
"2011-01-03","winter","Not holiday","14","Workday","Clear","12.12",30,"19.0012",77,"Work time"
"2011-01-03","winter","Not holiday","15","Workday","Clear","12.12",30,"16.9979",72,"Work time"
"2011-01-03","winter","Not holiday","16","Workday","Clear","12.12",30,"16.9979",76,"Work time"
"2011-01-03","winter","Not holiday","17","Workday","Clear","11.365",30,"15.0013",157,"After work time"
"2011-01-03","winter","Not holiday","18","Workday","Clear","12.88",32,"7.0015",157,"After work time"
"2011-01-03","winter","Not holiday","19","Workday","Clear","12.88",47,"0",110,"After work time"
"2011-01-03","winter","Not holiday","20","Workday","Clear","11.365",47,"7.0015",52,"After work time"
"2011-01-03","winter","Not holiday","21","Workday","Clear","9.85",64,"8.9981",52,"After work time"
"2011-01-03","winter","Not holiday","22","Workday","Clear","7.575",69,"8.9981",20,"After work time"
"2011-01-03","winter","Not holiday","23","Workday","Clear","10.605",55,"7.0015",12,"After work time"
"2011-01-04","winter","Not holiday","0","Workday","Clear","9.09",55,"7.0015",5,"Sleep time"
"2011-01-04","winter","Not holiday","1","Workday","Clear","9.09",59,"7.0015",2,"Sleep time"
"2011-01-04","winter","Not holiday","2","Workday","Clear","7.575",63,"8.9981",1,"Sleep time"
"2011-01-04","winter","Not holiday","4","Workday","Clear","9.09",63,"6.0032",2,"Sleep time"
"2011-01-04","winter","Not holiday","5","Workday","Clear","7.575",68,"7.0015",4,"Sleep time"
"2011-01-04","winter","Not holiday","6","Workday","Clear","7.575",74,"7.0015",36,"Sleep time"
"2011-01-04","winter","Not holiday","7","Workday","Clear","7.575",74,"8.9981",94,"Work time"
"2011-01-04","winter","Not holiday","8","Workday","Clear","7.575",69,"11.0014",179,"Work time"
"2011-01-04","winter","Not holiday","9","Workday","Clear","7.575",64,"15.0013",100,"Work time"
"2011-01-04","winter","Not holiday","10","Workday","Mist","6.82",69,"22.0028",42,"Work time"
"2011-01-04","winter","Not holiday","11","Workday","Clear","10.605",51,"19.9995",57,"Work time"
"2011-01-04","winter","Not holiday","12","Workday","Clear","11.365",51,"11.0014",78,"Work time"
"2011-01-04","winter","Not holiday","13","Workday","Clear","11.365",56,"12.998",97,"Work time"
"2011-01-04","winter","Not holiday","14","Workday","Clear","12.88",52,"15.0013",63,"Work time"
"2011-01-04","winter","Not holiday","15","Workday","Clear","13.635",52,"16.9979",65,"Work time"
"2011-01-04","winter","Not holiday","16","Workday","Clear","14.395",49,"16.9979",83,"Work time"
"2011-01-04","winter","Not holiday","17","Workday","Clear","13.635",48,"15.0013",212,"After work time"
"2011-01-04","winter","Not holiday","18","Workday","Clear","12.88",48,"12.998",182,"After work time"
"2011-01-04","winter","Not holiday","19","Workday","Clear","12.88",48,"7.0015",112,"After work time"
"2011-01-04","winter","Not holiday","20","Workday","Clear","12.88",48,"7.0015",54,"After work time"
"2011-01-04","winter","Not holiday","21","Workday","Clear","13.635",64,"0",48,"After work time"
"2011-01-04","winter","Not holiday","22","Workday","Clear","12.88",64,"6.0032",35,"After work time"
"2011-01-04","winter","Not holiday","23","Workday","Clear","11.365",69,"6.0032",11,"After work time"
"2011-01-05","winter","Not holiday","0","Workday","Clear","12.88",64,"0",6,"Sleep time"
"2011-01-05","winter","Not holiday","1","Workday","Clear","9.85",74,"6.0032",6,"Sleep time"
"2011-01-05","winter","Not holiday","2","Workday","Clear","9.85",74,"6.0032",2,"Sleep time"
"2011-01-05","winter","Not holiday","4","Workday","Clear","11.365",48,"15.0013",2,"Sleep time"
"2011-01-05","winter","Not holiday","5","Workday","Clear","11.365",47,"11.0014",3,"Sleep time"
"2011-01-05","winter","Not holiday","6","Workday","Clear","9.85",47,"15.0013",33,"Sleep time"
"2011-01-05","winter","Not holiday","7","Workday","Clear","9.09",43,"12.998",88,"Work time"
"2011-01-05","winter","Not holiday","8","Workday","Clear","9.09",40,"19.9995",195,"Work time"
"2011-01-05","winter","Not holiday","9","Workday","Clear","9.85",37,"22.0028",115,"Work time"
"2011-01-05","winter","Not holiday","10","Workday","Clear","9.85",37,"22.0028",57,"Work time"
"2011-01-05","winter","Not holiday","11","Workday","Clear","11.365",33,"22.0028",46,"Work time"
"2011-01-05","winter","Not holiday","12","Workday","Clear","11.365",33,"22.0028",79,"Work time"
"2011-01-05","winter","Not holiday","13","Workday","Clear","12.88",30,"19.9995",71,"Work time"
"2011-01-05","winter","Not holiday","14","Workday","Clear","14.395",28,"12.998",62,"Work time"
"2011-01-05","winter","Not holiday","15","Workday","Clear","14.395",28,"12.998",62,"Work time"
"2011-01-05","winter","Not holiday","16","Workday","Clear","15.91",28,"6.0032",89,"Work time"
"2011-01-05","winter","Not holiday","17","Workday","Clear","11.365",38,"12.998",190,"After work time"
"2011-01-05","winter","Not holiday","18","Workday","Clear","12.12",38,"8.9981",169,"After work time"
"2011-01-05","winter","Not holiday","19","Workday","Clear","12.88",38,"7.0015",132,"After work time"
"2011-01-05","winter","Not holiday","20","Workday","Clear","11.365",47,"11.0014",89,"After work time"
"2011-01-05","winter","Not holiday","21","Workday","Clear","9.85",51,"12.998",43,"After work time"
"2011-01-05","winter","Not holiday","22","Workday","Clear","9.85",55,"8.9981",42,"After work time"
"2011-01-05","winter","Not holiday","23","Workday","Clear","12.88",47,"0",19,"After work time"
"2011-01-06","winter","Not holiday","0","Workday","Clear","12.12",55,"0",11,"Sleep time"
"2011-01-06","winter","Not holiday","1","Workday","Clear","11.365",64,"0",4,"Sleep time"
"2011-01-06","winter","Not holiday","2","Workday","Clear","11.365",64,"0",2,"Sleep time"
"2011-01-06","winter","Not holiday","4","Workday","Mist","9.85",64,"6.0032",1,"Sleep time"
"2011-01-06","winter","Not holiday","5","Workday","Mist","9.09",69,"6.0032",4,"Sleep time"
"2011-01-06","winter","Not holiday","6","Workday","Mist","8.335",63,"7.0015",36,"Sleep time"
"2011-01-06","winter","Not holiday","7","Workday","Mist","11.365",59,"0",95,"Work time"
"2011-01-06","winter","Not holiday","8","Workday","Clear","11.365",59,"0",219,"Work time"
"2011-01-06","winter","Not holiday","9","Workday","Mist","12.12",51,"0",122,"Work time"
"2011-01-06","winter","Not holiday","10","Workday","Clear","12.88",47,"0",45,"Work time"
"2011-01-06","winter","Not holiday","11","Workday","Clear","12.88",44,"6.0032",59,"Work time"
"2011-01-06","winter","Not holiday","12","Workday","Clear","14.395",35,"0",84,"Work time"
"2011-01-06","winter","Not holiday","13","Workday","Clear","13.635",35,"7.0015",67,"Work time"
"2011-01-06","winter","Not holiday","14","Workday","Clear","13.635",36,"11.0014",70,"Work time"
"2011-01-06","winter","Not holiday","15","Workday","Clear","13.635",36,"0",62,"Work time"
"2011-01-06","winter","Not holiday","16","Workday","Clear","12.88",38,"11.0014",86,"Work time"
"2011-01-06","winter","Not holiday","17","Workday","Clear","11.365",51,"11.0014",172,"After work time"
"2011-01-06","winter","Not holiday","18","Workday","Clear","11.365",51,"8.9981",163,"After work time"
"2011-01-06","winter","Not holiday","19","Workday","Clear","12.88",55,"6.0032",112,"After work time"
"2011-01-06","winter","Not holiday","20","Workday","Clear","10.605",51,"11.0014",69,"After work time"
"2011-01-06","winter","Not holiday","21","Workday","Mist","10.605",55,"15.0013",48,"After work time"
"2011-01-06","winter","Not holiday","22","Workday","Mist","10.605",51,"19.0012",52,"After work time"
"2011-01-06","winter","Not holiday","23","Workday","Mist","9.85",59,"12.998",23,"After work time"
"2011-01-07","winter","Not holiday","0","Workday","Mist","9.85",64,"12.998",17,"Sleep time"
"2011-01-07","winter","Not holiday","1","Workday","Mist","9.85",69,"15.0013",7,"Sleep time"
"2011-01-07","winter","Not holiday","2","Workday","Mist","9.85",69,"15.0013",1,"Sleep time"
"2011-01-07","winter","Not holiday","4","Workday","Mist","10.605",69,"8.9981",1,"Sleep time"
"2011-01-07","winter","Not holiday","5","Workday","Light Snow","13.635",55,"0",5,"Sleep time"
"2011-01-07","winter","Not holiday","6","Workday","Mist","12.88",69,"0",34,"Sleep time"
"2011-01-07","winter","Not holiday","7","Workday","Clear","10.605",69,"8.9981",84,"Work time"
"2011-01-07","winter","Not holiday","8","Workday","Clear","9.85",51,"16.9979",210,"Work time"
"2011-01-07","winter","Not holiday","9","Workday","Clear","9.09",47,"19.9995",134,"Work time"
"2011-01-07","winter","Not holiday","10","Workday","Clear","9.85",37,"22.0028",63,"Work time"
"2011-01-07","winter","Not holiday","11","Workday","Mist","9.85",40,"15.0013",67,"Work time"
"2011-01-07","winter","Not holiday","12","Workday","Mist","9.85",37,"16.9979",59,"Work time"
"2011-01-07","winter","Not holiday","13","Workday","Mist","9.09",37,"19.0012",73,"Work time"
"2011-01-07","winter","Not holiday","14","Workday","Mist","9.85",40,"16.9979",50,"Work time"
"2011-01-07","winter","Not holiday","15","Workday","Mist","10.605",37,"11.0014",72,"Work time"
"2011-01-07","winter","Not holiday","16","Workday","Mist","10.605",37,"11.0014",87,"Work time"
"2011-01-07","winter","Not holiday","17","Workday","Mist","12.88",37,"0",187,"After work time"
"2011-01-07","winter","Not holiday","18","Workday","Clear","11.365",40,"6.0032",123,"After work time"
"2011-01-07","winter","Not holiday","19","Workday","Clear","9.85",55,"6.0032",95,"After work time"
"2011-01-07","winter","Not holiday","20","Workday","Clear","10.605",47,"7.0015",51,"After work time"
"2011-01-07","winter","Not holiday","21","Workday","Clear","9.85",47,"8.9981",39,"After work time"
"2011-01-07","winter","Not holiday","22","Workday","Mist","9.85",43,"11.0014",36,"After work time"
"2011-01-07","winter","Not holiday","23","Workday","Mist","9.85",51,"11.0014",15,"After work time"
"2011-01-08","winter","Not holiday","0","Not workday","Mist","9.85",51,"11.0014",25,"Sleep time"
"2011-01-08","winter","Not holiday","1","Not workday","Mist","10.605",55,"6.0032",16,"Sleep time"
"2011-01-08","winter","Not holiday","2","Not workday","Mist","12.12",55,"0",16,"Sleep time"
"2011-01-08","winter","Not holiday","3","Not workday","Light Snow","9.85",55,"11.0014",7,"Sleep time"
"2011-01-08","winter","Not holiday","4","Not workday","Light Snow","9.85",55,"11.0014",1,"Sleep time"
"2011-01-08","winter","Not holiday","5","Not workday","Mist","8.335",74,"11.0014",5,"Sleep time"
"2011-01-08","winter","Not holiday","6","Not workday","Mist","8.335",74,"11.0014",2,"Sleep time"
"2011-01-08","winter","Not holiday","7","Not workday","Mist","9.09",74,"7.0015",9,"Work time"
"2011-01-08","winter","Not holiday","8","Not workday","Light Snow","9.09",93,"7.0015",15,"Work time"
"2011-01-08","winter","Not holiday","9","Not workday","Light Snow","9.09",93,"7.0015",20,"Work time"
"2011-01-08","winter","Not holiday","10","Not workday","Mist","9.85",80,"11.0014",61,"Work time"
"2011-01-08","winter","Not holiday","11","Not workday","Mist","9.09",69,"26.0027",62,"Work time"
"2011-01-08","winter","Not holiday","12","Not workday","Mist","9.09",59,"23.9994",98,"Work time"
"2011-01-08","winter","Not holiday","13","Not workday","Clear","9.09",44,"22.0028",102,"Work time"
"2011-01-08","winter","Not holiday","14","Not workday","Clear","8.335",32,"32.9975",95,"Work time"
"2011-01-08","winter","Not holiday","15","Not workday","Clear","8.335",32,"30.0026",74,"Work time"
"2011-01-08","winter","Not holiday","16","Not workday","Clear","6.82",29,"30.0026",76,"Work time"
"2011-01-08","winter","Not holiday","17","Not workday","Clear","6.06",37,"36.9974",69,"After work time"
"2011-01-08","winter","Not holiday","18","Not workday","Clear","6.06",39,"19.9995",55,"After work time"
"2011-01-08","winter","Not holiday","19","Not workday","Clear","6.06",36,"16.9979",30,"After work time"
"2011-01-08","winter","Not holiday","20","Not workday","Clear","6.06",36,"16.9979",28,"After work time"
"2011-01-08","winter","Not holiday","21","Not workday","Clear","5.305",39,"23.9994",37,"After work time"
"2011-01-08","winter","Not holiday","22","Not workday","Clear","5.305",36,"26.0027",34,"After work time"
"2011-01-08","winter","Not holiday","23","Not workday","Clear","3.03",39,"30.0026",22,"After work time"
"2011-01-09","winter","Not holiday","0","Not workday","Clear","3.79",42,"26.0027",25,"Sleep time"
"2011-01-09","winter","Not holiday","1","Not workday","Clear","3.03",42,"31.0009",12,"Sleep time"
"2011-01-09","winter","Not holiday","2","Not workday","Clear","3.03",46,"31.0009",11,"Sleep time"
"2011-01-09","winter","Not holiday","3","Not workday","Clear","3.79",46,"27.9993",4,"Sleep time"
"2011-01-09","winter","Not holiday","4","Not workday","Clear","4.545",53,"12.998",1,"Sleep time"
"2011-01-09","winter","Not holiday","5","Not workday","Clear","4.545",53,"12.998",1,"Sleep time"
"2011-01-09","winter","Not holiday","6","Not workday","Clear","4.545",49,"19.0012",1,"Sleep time"
"2011-01-09","winter","Not holiday","7","Not workday","Clear","4.545",53,"12.998",6,"Work time"
"2011-01-09","winter","Not holiday","8","Not workday","Clear","4.545",49,"19.0012",10,"Work time"
"2011-01-09","winter","Not holiday","9","Not workday","Clear","3.79",46,"35.0008",19,"Work time"
"2011-01-09","winter","Not holiday","10","Not workday","Clear","5.305",43,"26.0027",49,"Work time"
"2011-01-09","winter","Not holiday","11","Not workday","Clear","6.06",40,"35.0008",49,"Work time"
"2011-01-09","winter","Not holiday","12","Not workday","Clear","6.82",37,"30.0026",83,"Work time"
"2011-01-09","winter","Not holiday","13","Not workday","Clear","8.335",34,"30.0026",75,"Work time"
"2011-01-09","winter","Not holiday","14","Not workday","Clear","9.09",32,"31.0009",72,"Work time"
"2011-01-09","winter","Not holiday","15","Not workday","Clear","9.85",35,"23.9994",82,"Work time"
"2011-01-09","winter","Not holiday","16","Not workday","Clear","8.335",34,"30.0026",92,"Work time"
"2011-01-09","winter","Not holiday","17","Not workday","Clear","7.575",37,"26.0027",62,"After work time"
"2011-01-09","winter","Not holiday","18","Not workday","Clear","6.82",40,"22.0028",48,"After work time"
"2011-01-09","winter","Not holiday","19","Not workday","Clear","6.82",43,"22.0028",41,"After work time"
"2011-01-09","winter","Not holiday","20","Not workday","Clear","6.06",46,"16.9979",38,"After work time"
"2011-01-09","winter","Not holiday","21","Not workday","Clear","5.305",46,"27.9993",20,"After work time"
"2011-01-09","winter","Not holiday","22","Not workday","Clear","6.06",46,"19.9995",15,"After work time"
"2011-01-09","winter","Not holiday","23","Not workday","Clear","6.82",50,"12.998",6,"After work time"
"2011-01-10","winter","Not holiday","0","Workday","Clear","6.06",50,"19.0012",5,"Sleep time"
"2011-01-10","winter","Not holiday","1","Workday","Clear","6.06",50,"19.0012",1,"Sleep time"
"2011-01-10","winter","Not holiday","2","Workday","Clear","6.06",50,"15.0013",3,"Sleep time"
"2011-01-10","winter","Not holiday","3","Workday","Clear","6.06",50,"15.0013",1,"Sleep time"
"2011-01-10","winter","Not holiday","4","Workday","Clear","6.06",54,"8.9981",3,"Sleep time"
"2011-01-10","winter","Not holiday","5","Workday","Clear","5.305",54,"16.9979",3,"Sleep time"
"2011-01-10","winter","Not holiday","6","Workday","Clear","6.06",50,"19.0012",31,"Sleep time"
"2011-01-10","winter","Not holiday","7","Workday","Clear","6.06",50,"15.0013",77,"Work time"
"2011-01-10","winter","Not holiday","8","Workday","Mist","6.06",50,"19.0012",188,"Work time"
"2011-01-10","winter","Not holiday","9","Workday","Mist","6.06",50,"16.9979",94,"Work time"
"2011-01-10","winter","Not holiday","10","Workday","Mist","6.06",50,"19.9995",31,"Work time"
"2011-01-10","winter","Not holiday","11","Workday","Mist","6.82",47,"19.0012",30,"Work time"
"2011-01-10","winter","Not holiday","12","Workday","Mist","9.09",40,"19.0012",52,"Work time"
"2011-01-10","winter","Not holiday","13","Workday","Mist","9.09",40,"19.0012",54,"Work time"
"2011-01-10","winter","Not holiday","14","Workday","Mist","9.85",40,"15.0013",47,"Work time"
"2011-01-10","winter","Not holiday","15","Workday","Mist","9.85",40,"15.0013",45,"Work time"
"2011-01-10","winter","Not holiday","16","Workday","Clear","10.605",40,"8.9981",74,"Work time"
"2011-01-10","winter","Not holiday","17","Workday","Clear","11.365",40,"7.0015",178,"After work time"
"2011-01-10","winter","Not holiday","18","Workday","Clear","9.85",40,"15.0013",155,"After work time"
"2011-01-10","winter","Not holiday","19","Workday","Clear","8.335",47,"11.0014",95,"After work time"
"2011-01-10","winter","Not holiday","20","Workday","Clear","8.335",50,"11.0014",74,"After work time"
"2011-01-10","winter","Not holiday","21","Workday","Clear","6.82",59,"12.998",38,"After work time"
"2011-01-10","winter","Not holiday","22","Workday","Clear","7.575",59,"11.0014",24,"After work time"
"2011-01-10","winter","Not holiday","23","Workday","Clear","7.575",59,"11.0014",18,"After work time"
"2011-01-11","winter","Not holiday","0","Workday","Clear","8.335",59,"7.0015",12,"Sleep time"
"2011-01-11","winter","Not holiday","1","Workday","Clear","7.575",59,"11.0014",3,"Sleep time"
"2011-01-11","winter","Not holiday","2","Workday","Mist","7.575",55,"12.998",3,"Sleep time"
"2011-01-11","winter","Not holiday","5","Workday","Mist","9.09",55,"8.9981",6,"Sleep time"
"2011-01-11","winter","Not holiday","6","Workday","Mist","9.09",55,"8.9981",27,"Sleep time"
"2011-01-11","winter","Not holiday","7","Workday","Mist","11.365",55,"0",99,"Work time"
"2011-01-11","winter","Not holiday","8","Workday","Mist","10.605",51,"6.0032",217,"Work time"
"2011-01-11","winter","Not holiday","9","Workday","Mist","9.85",51,"11.0014",130,"Work time"
"2011-01-11","winter","Not holiday","10","Workday","Mist","10.605",51,"11.0014",54,"Work time"
"2011-01-11","winter","Not holiday","11","Workday","Mist","10.605",47,"8.9981",35,"Work time"
"2011-01-11","winter","Not holiday","12","Workday","Mist","11.365",51,"7.0015",57,"Work time"
"2011-01-11","winter","Not holiday","13","Workday","Mist","11.365",59,"6.0032",52,"Work time"
"2011-01-11","winter","Not holiday","14","Workday","Mist","11.365",59,"6.0032",63,"Work time"
"2011-01-11","winter","Not holiday","15","Workday","Mist","9.85",80,"6.0032",47,"Work time"
"2011-01-11","winter","Not holiday","16","Workday","Mist","7.575",86,"15.0013",76,"Work time"
"2011-01-11","winter","Not holiday","17","Workday","Mist","7.575",86,"15.0013",136,"After work time"
"2011-01-11","winter","Not holiday","18","Workday","Light Snow","9.09",93,"7.0015",95,"After work time"
"2011-01-11","winter","Not holiday","19","Workday","Light Snow","11.365",93,"0",51,"After work time"
"2011-01-11","winter","Not holiday","20","Workday","Light Snow","7.575",93,"12.998",32,"After work time"
"2011-01-11","winter","Not holiday","21","Workday","Light Snow","9.85",86,"6.0032",20,"After work time"
"2011-01-11","winter","Not holiday","22","Workday","Light Snow","9.09",93,"7.0015",29,"After work time"
"2011-01-11","winter","Not holiday","23","Workday","Light Snow","9.85",93,"6.0032",19,"After work time"
"2011-01-12","winter","Not holiday","0","Workday","Mist","9.85",86,"6.0032",7,"Sleep time"
"2011-01-12","winter","Not holiday","1","Workday","Mist","9.09",86,"7.0015",6,"Sleep time"
"2011-01-12","winter","Not holiday","2","Workday","Clear","7.575",86,"8.9981",1,"Sleep time"
"2011-01-12","winter","Not holiday","5","Workday","Clear","7.575",86,"11.0014",5,"Sleep time"
"2011-01-12","winter","Not holiday","6","Workday","Clear","7.575",93,"8.9981",16,"Sleep time"
"2011-01-12","winter","Not holiday","7","Workday","Clear","7.575",69,"8.9981",54,"Work time"
"2011-01-12","winter","Not holiday","8","Workday","Clear","8.335",59,"11.0014",128,"Work time"
"2011-01-12","winter","Not holiday","9","Workday","Clear","6.82",59,"22.0028",81,"Work time"
"2011-01-12","winter","Not holiday","10","Workday","Clear","9.09",55,"15.0013",39,"Work time"
"2011-01-12","winter","Not holiday","11","Workday","Clear","9.09",51,"26.0027",35,"Work time"
"2011-01-12","winter","Not holiday","12","Workday","Clear","7.575",47,"39.0007",55,"Work time"
"2011-01-12","winter","Not holiday","13","Workday","Clear","9.85",44,"23.9994",49,"Work time"
"2011-01-12","winter","Not holiday","14","Workday","Clear","9.09",47,"22.0028",44,"Work time"
"2011-01-12","winter","Not holiday","15","Workday","Clear","8.335",47,"27.9993",49,"Work time"
"2011-01-12","winter","Not holiday","16","Workday","Clear","9.85",44,"22.0028",68,"Work time"
"2011-01-12","winter","Not holiday","17","Workday","Clear","9.09",47,"23.9994",139,"After work time"
"2011-01-12","winter","Not holiday","18","Workday","Clear","7.575",47,"35.0008",137,"After work time"
"2011-01-12","winter","Not holiday","19","Workday","Clear","7.575",47,"27.9993",83,"After work time"
"2011-01-12","winter","Not holiday","20","Workday","Clear","6.82",50,"22.0028",56,"After work time"
"2011-01-12","winter","Not holiday","21","Workday","Clear","6.82",55,"22.0028",57,"After work time"
"2011-01-12","winter","Not holiday","22","Workday","Clear","6.06",55,"30.0026",33,"After work time"
"2011-01-12","winter","Not holiday","23","Workday","Clear","5.305",59,"27.9993",20,"After work time"
"2011-01-13","winter","Not holiday","0","Workday","Clear","6.06",59,"19.0012",7,"Sleep time"
"2011-01-13","winter","Not holiday","1","Workday","Clear","6.06",50,"19.0012",2,"Sleep time"
"2011-01-13","winter","Not holiday","2","Workday","Clear","6.06",50,"23.9994",2,"Sleep time"
"2011-01-13","winter","Not holiday","3","Workday","Clear","6.06",50,"22.0028",3,"Sleep time"
"2011-01-13","winter","Not holiday","4","Workday","Clear","6.06",50,"16.9979",4,"Sleep time"
"2011-01-13","winter","Not holiday","5","Workday","Clear","6.06",50,"19.9995",3,"Sleep time"
"2011-01-13","winter","Not holiday","6","Workday","Clear","7.575",54,"8.9981",28,"Sleep time"
"2011-01-13","winter","Not holiday","7","Workday","Clear","7.575",54,"8.9981",72,"Work time"
"2011-01-13","winter","Not holiday","8","Workday","Clear","6.82",50,"12.998",202,"Work time"
"2011-01-13","winter","Not holiday","9","Workday","Clear","6.06",50,"22.0028",139,"Work time"
"2011-01-13","winter","Not holiday","10","Workday","Mist","6.82",50,"23.9994",38,"Work time"
"2011-01-13","winter","Not holiday","11","Workday","Mist","8.335",44,"30.0026",37,"Work time"
"2011-01-13","winter","Not holiday","12","Workday","Clear","8.335",44,"27.9993",52,"Work time"
"2011-01-13","winter","Not holiday","13","Workday","Clear","9.85",41,"30.0026",83,"Work time"
"2011-01-13","winter","Not holiday","14","Workday","Clear","9.85",41,"26.0027",42,"Work time"
